Google.Date,Open,High,Low,Close,Volume
Google,30-Jan-15,515.86,539.87,515.52,534.52,5590977
Google,29-Jan-15,511.00,511.09,501.20,510.66,4174924
Google,28-Jan-15,522.78,522.99,510.00,510.00,1679230
Google,27-Jan-15,529.97,530.70,518.19,518.63,1898844
Google,26-Jan-15,538.53,539.00,529.67,535.21,1539524
Google,23-Jan-15,535.59,542.17,533.00,539.95,2275485
Google,22-Jan-15,521.48,536.33,519.70,534.39,2669558
Google,21-Jan-15,507.25,519.28,506.20,518.04,2262455
Google,20-Jan-15,511.00,512.50,506.02,506.90,2225922
Google,16-Jan-15,500.01,508.19,500.00,508.08,2292043
Google,15-Jan-15,505.57,505.68,497.76,501.79,2711355
Google,14-Jan-15,494.65,503.23,493.00,500.87,2229638
Google,13-Jan-15,498.84,502.98,492.39,496.18,2365687
Google,12-Jan-15,494.94,495.98,487.56,492.55,2320446
Google,9-Jan-15,504.76,504.92,494.79,496.17,2065715
Google,8-Jan-15,497.99,503.48,491.00,502.68,3344395
Google,7-Jan-15,507.00,507.24,499.65,501.10,2059366
Google,6-Jan-15,515.00,516.18,501.05,501.96,2891950
Google,5-Jan-15,523.26,524.33,513.06,513.87,2054238
Google,2-Jan-15,529.01,531.27,524.10,524.81,1446662
Google,31-Dec-14,531.25,532.60,525.80,526.40,1371819
Google,30-Dec-14,528.09,531.15,527.13,530.42,873923
Google,29-Dec-14,532.19,535.48,530.01,530.33,2276104
Google,26-Dec-14,528.77,534.25,527.31,534.03,1037727
Google,24-Dec-14,530.51,531.76,527.02,528.77,704035
Google,23-Dec-14,527.00,534.56,526.29,530.59,2191567
Google,22-Dec-14,516.08,526.46,516.08,524.87,2723599
Google,19-Dec-14,511.51,517.72,506.91,516.35,3680148
Google,18-Dec-14,512.95,513.87,504.70,511.10,2918730
Google,17-Dec-14,497.00,507.00,496.81,504.89,2875281
Google,16-Dec-14,511.56,513.05,489.00,495.39,3953371
Google,15-Dec-14,522.74,523.10,513.27,513.80,2812786
Google,12-Dec-14,523.51,528.50,518.66,518.66,1989117
Google,11-Dec-14,527.80,533.92,527.10,528.34,1610964
Google,10-Dec-14,533.08,536.33,525.56,526.06,1716835
Google,9-Dec-14,522.14,534.19,520.50,533.37,1871268
Google,8-Dec-14,527.13,531.00,523.79,526.98,2327127
Google,5-Dec-14,531.00,532.89,524.28,525.26,2558649
Google,4-Dec-14,531.16,537.34,528.59,537.31,1392208
Google,3-Dec-14,531.44,536.00,529.26,531.32,1279288
Google,2-Dec-14,533.51,535.50,529.80,533.75,1522481
Google,1-Dec-14,538.90,541.41,531.86,533.80,2109599
Google,28-Nov-14,540.62,542.00,536.60,541.83,1145231
Google,26-Nov-14,540.88,541.55,537.04,540.37,1519503
Google,25-Nov-14,539.00,543.98,538.60,541.08,1784967
Google,24-Nov-14,537.65,542.70,535.62,539.27,1701682
Google,21-Nov-14,541.61,542.14,536.56,537.50,2218249
Google,20-Nov-14,531.25,535.11,531.08,534.83,1559131
Google,19-Nov-14,535.00,538.24,530.08,536.99,1388440
