Date,Value
30-Jan-15,325.525
29-Jan-15,307.27
28-Jan-15,308.055
27-Jan-15,309.06
26-Jan-15,309.95
23-Jan-15,304.03999999999996
22-Jan-15,294.82
21-Jan-15,291.115
20-Jan-15,289.43499999999995
16-Jan-15,290.14
15-Jan-15,292.96500000000003
14-Jan-15,294.70500000000004
13-Jan-15,297.52
12-Jan-15,299.52
09-Jan-15,300.9
08-Jan-15,298.90999999999997
07-Jan-15,299.87
06-Jan-15,304.625
05-Jan-15,309.79499999999996
02-Jan-15,312.065
31-Dec-14,310.73
30-Dec-14,308.88
29-Dec-14,306.425
26-Dec-14,305.69
24-Dec-14,306.68
23-Dec-14,304.46000000000004
22-Dec-14,299.425
19-Dec-14,300.46000000000004
18-Dec-14,300.19
17-Dec-14,300.36
16-Dec-14,306.61
15-Dec-14,306.43
12-Dec-14,305.94
11-Dec-14,309.945
10-Dec-14,307.495
09-Dec-14,307.28
08-Dec-14,314.185
05-Dec-14,316.16499999999996
04-Dec-14,320.63
03-Dec-14,326.615
02-Dec-14,332.81
01-Dec-14,337.075
28-Nov-14,334.905
26-Nov-14,334.525
25-Nov-14,335.025
24-Nov-14,335.1
21-Nov-14,329.71000000000004
20-Nov-14,325.625
19-Nov-14,325.62
18-Nov-14,325.21500000000003
17-Nov-14,321.78
14-Nov-14,314.56
13-Nov-14,311.375
12-Nov-14,308.345
11-Nov-14,302.97
10-Nov-14,298.90999999999997
07-Nov-14,297.255
06-Nov-14,299.85
05-Nov-14,303.5
04-Nov-14,305.115
03-Nov-14,305.695
31-Oct-14,299.565
30-Oct-14,296.545
29-Oct-14,294.435
28-Oct-14,287.73
27-Oct-14,285.04999999999995
24-Oct-14,298.9
23-Oct-14,314.41499999999996
22-Oct-14,312.66499999999996
21-Oct-14,306.42499999999995
20-Oct-14,305.04999999999995
17-Oct-14,300.49
16-Oct-14,299.09000000000003
15-Oct-14,306.175
14-Oct-14,308.935
13-Oct-14,311.945
10-Oct-14,317.755
09-Oct-14,319.03499999999997
08-Oct-14,318.005
07-Oct-14,321.46500000000003
06-Oct-14,321.93
03-Oct-14,318.64
02-Oct-14,319.48
01-Oct-14,321.70000000000005
30-Sep-14,320.93
29-Sep-14,320.55
26-Sep-14,324.295
25-Sep-14,326.08000000000004
24-Sep-14,323.315
23-Sep-14,325.475
22-Sep-14,328.045
19-Sep-14,326.52
18-Sep-14,326.6
17-Sep-14,324.41499999999996
16-Sep-14,325.99
15-Sep-14,330.235
12-Sep-14,329.75
11-Sep-14,332.12
10-Sep-14,337.95500000000004
09-Sep-14,343.07500000000005
08-Sep-14,345.42
05-Sep-14,344.995
04-Sep-14,343.115
03-Sep-14,341.26
02-Sep-14,340.87
29-Aug-14,340.88
28-Aug-14,341.04499999999996
27-Aug-14,339.54499999999996
26-Aug-14,335.105
25-Aug-14,333.1
22-Aug-14,334.735
21-Aug-14,335.58000000000004
20-Aug-14,334.775
19-Aug-14,335.175
18-Aug-14,334.74
15-Aug-14,330.9
14-Aug-14,327.70000000000005
13-Aug-14,323.245
12-Aug-14,318.685
11-Aug-14,315.21000000000004
08-Aug-14,313.575
07-Aug-14,313.02
06-Aug-14,312.24
05-Aug-14,311.245
04-Aug-14,311.265
01-Aug-14,316.85
31-Jul-14,320.73
30-Jul-14,321.71500000000003
29-Jul-14,323.115
28-Jul-14,320.775
25-Jul-14,338.64
24-Jul-14,359.515
23-Jul-14,357.15
22-Jul-14,356.675
21-Jul-14,356.25
18-Jul-14,353.91999999999996
17-Jul-14,354.53
16-Jul-14,354.67
15-Jul-14,350.375
14-Jul-14,340.87
11-Jul-14,329.525
10-Jul-14,324.525
09-Jul-14,328.905
08-Jul-14,335.3
07-Jul-14,336.16499999999996
03-Jul-14,334.015
02-Jul-14,329.53
01-Jul-14,325.42
30-Jun-14,325.43
27-Jun-14,327.185
26-Jun-14,326.40999999999997
25-Jun-14,325.935
24-Jun-14,325.435
23-Jun-14,325.54499999999996
20-Jun-14,331.51
19-Jun-14,331.63
18-Jun-14,327.77
17-Jun-14,326.20000000000005
16-Jun-14,325.95500000000004
13-Jun-14,331.3
12-Jun-14,335.775
11-Jun-14,331.825
10-Jun-14,329.61
09-Jun-14,328.28499999999997
06-Jun-14,316.55
05-Jun-14,307.475
04-Jun-14,306.3
03-Jun-14,309.16999999999996
02-Jun-14,313.51
30-May-14,312.425
29-May-14,309.96000000000004
28-May-14,311.95500000000004
27-May-14,309.935
23-May-14,305.255
22-May-14,303.63
21-May-14,299.655
20-May-14,296.43
19-May-14,294.28
16-May-14,295.40999999999997
15-May-14,300.26
14-May-14,302.55
13-May-14,298.45000000000005
12-May-14,292.435
09-May-14,290.695
08-May-14,293.19
07-May-14,302.54499999999996
06-May-14,307.95
05-May-14,308.395
